ID,X,Y,AANTAL,HOOFDSOORT,ANT_IDS,TWEEG,DRIEG,VIERG,VIJFG,MOBIELE_COMMUNICATIE,OMROEP,OVERIGMOBIEL,VASTE_VERB,ZENDAMATEURS,GEMEENTE,POSTCODE,WOONPLAATSNAAM,SMALL_CELL_INDICATOR
10793,116943,517831,1.0,ZENDAMATEURS,1414148277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Heerhugowaard,1705JM,HEERHUGOWAARD,
10794,233978,505173,1.0,VASTE VERB,6611439579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Hardenberg,7795DD,DIFFELEN,
10794,233978,505173,3.0,"VASTE VERB, VASTE VERB, VASTE VERB","1915541035, 1971828992, 591117106",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Hardenberg,7795DD,DIFFELEN,
10794,233978,505173,4.0,"VASTE VERB, VASTE VERB, VASTE VERB, VASTE VERB","1623348626, 922691500, 1020938879, 124790053",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Hardenberg,7795DD,HARDENBERG,
10795,184764,329165,1.0,ZENDAMATEURS,1674563078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Beek,6191GE,BEEK LB,
10796,143832,439524,3.0,"VASTE VERB, VASTE VERB, VASTE VERB","3164725810, 8913860824, 6804475970",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Culemborg,4104AZ,CULEMBORG,
10797,146989,437089,6.0,"VASTE VERB, VASTE VERB, VASTE VERB, VASTE VERB, VASTE VERB, VASTE VERB","5538314100, 8114695434, 4232105536, 351099719, 3003750218, 6979899467",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Geldermalsen,4196RK,TRICHT,
10798,118446,412622,1.0,ZENDAMATEURS,1682013023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Geertruidenberg,4931BP,GEERTRUIDENBERG,
10799,79823,458919,1.0,VASTE VERB,4867993282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,'s-Gravenhage,2587TZ,'S-GRAVENHAGE,
10800,89517,414621,1.0,ZENDAMATEURS,1403069571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Cromstrijen,3281HA,NUMANSDORP,
10801,79711,459348,1.0,VASTE VERB,6043436436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,'s-Gravenhage,2586HZ,'S-GRAVENHAGE,
10802,180035,441076,1.0,ZENDAMATEURS,1417405721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Overbetuwe,6666BH,HETEREN,
10803,141943,488598,1.0,ZENDAMATEURS,1403748995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Almere,1313KG,ALMERE,
10804,109521,474934,1.0,ZENDAMATEURS,1683234507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Haarlemmermeer,1435PA,RIJSENHOUT,
10805,113918,527661,6.0,"VASTE VERB, VASTE VERB, VASTE VERB, VASTE VERB, VASTE VERB, VASTE VERB","3421030437, 2212745188, 6089338735, 2734720340, 1401255653, 5934878420",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Harenkarspel,1746CL,DIRKSHORN,
10807,265467,475912,1.0,ZENDAMATEURS,1687181548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Losser,7582ZW,LOSSER,
10808,199753,326090,1.0,VASTE VERB,5733721663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Landgraaf,6374BS,LANDGRAAF,
10808,199753,326090,1.0,VASTE VERB,4999319864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Landgraaf,6374BS,LANDGRAAF,
10809,202148,325447,5.0,"VASTE VERB, VASTE VERB, VASTE VERB, VASTE VERB, VASTE VERB","8021680956, 6968356308, 9284246745, 2168169075, 460728722",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Landgraaf,6374GB,LANDGRAAF,
10810,80547,382988,1.0,ZENDAMATEURS,1262250231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Woensdrecht,4631AV,HOOGERHEIDE,
10811,71471,449353,1.0,ZENDAMATEURS,1262395694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Westland,2681ST,MONSTER,
10812,155067,391530,1.0,ZENDAMATEURS,1263636004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Best,5682EC,BEST,
10813,274801,571682,1.0,VASTE VERB,1818233943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Bellingwedde,9695EX,BELLINGWOLDE,
10814,274361,569302,1.0,VASTE VERB,1827577478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Bellingwedde,9695EC,BELLINGWOLDE,
10815,221120,447126,1.0,ZENDAMATEURS,1964655706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Bronckhorst,7021HA,ZELHEM,
10816,200965,457145,1.0,ZENDAMATEURS,1264457375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Brummen,6961VG,EERBEEK,
10817,159312,377184,1.0,ZENDAMATEURS,1264457554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Waalre,5581VC,WAALRE,
10818,145056,437683,1.0,VASTE VERB,9706774335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Culemborg,4103ND,TRICHT,
10820,97418,433594,2.0,"VASTE VERB, VASTE VERB","1398302944, 428717689",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Rotterdam,3078AS,ROTTERDAM,
10821,189505,346853,1.0,ZENDAMATEURS,1312088912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Echt-Susteren,6101KE,ECHT,
10822,98876,432403,3.0,"5G NR, LTE, GSM","2524902845, 2117425277, 9439607394",1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,Ridderkerk,2987VC,Ridderkerk,
10822,98876,432403,1.0,VASTE VERB,6065542937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Ridderkerk,2987VC,RIDDERKERK,
10823,119198,577212,3.0,"VASTE VERB, VASTE VERB, VASTE VERB","9306361454, 6152291799, 1455285088",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Texel,1795LN,DE COCKSDORP,
10824,117302,494962,3.0,"GSM, LTE, 5G NR","8753569131, 5726426880, 3878316998",1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,Zaanstad,1502CB,Zaandam,
10825,212415,495190,3.0,"GSM, LTE, 5G NR","1760031477, 4385355162, 8403032085",1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,Raalte,8141EB,Heino,
10827,118546,494999,3.0,"GSM, LTE, 5G NR","2566942514, 4081424452, 102448929",1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,Zaanstad,1504LG,Zaandam,
10828,235537,495607,3.0,"GSM, LTE, 5G NR","8627563974, 6424487985, 914846569",1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,Hellendoorn,7687AP,Daarlerveen,
